AREA_KM2,PERIM_KM,PAIS,CANTON,COD_CANT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_ANUA
595.81,188705.98,COSTA RICA,CARRILLO,505,21,12,12,42,239,228,164,218,310,386,123,36,1792
251.03,97534.96,COSTA RICA,JIMENEZ,304,229,144,116,145,375,372,357,337,367,356,364,244,3406
2419.35,353912.07,COSTA RICA,POCOCI,702,376,223,183,190,397,381,428,337,281,326,501,407,4030
574.63,131825.52,COSTA RICA,GUACIMO,706,327,200,160,176,358,329,371,290,232,290,430,339,3501
745.79,144278,COSTA RICA,GUATUSO,215,189,112,94,78,304,378,390,349,332,372,311,259,3168
677.1,129369.18,COSTA RICA,TILARAN,508,232,134,113,87,318,372,370,341,370,408,340,273,3356
685.37,176284.64,COSTA RICA,CAÑA,506,99,58,50,51,258,278,232,243,317,357,197,128,2269
1276.78,200419.11,COSTA RICA,BAGACES,504,42,26,23,40,236,241,180,212,296,345,143,67,1851
1438.32,213280.07,COSTA RICA,LIBERIA,501,31,19,17,42,235,236,177,219,296,362,134,55,1822
219.19,101754.5,COSTA RICA,ESPARZA,602,37,22,24,103,427,419,372,433,563,588,256,78,3321
237.92,87662.99,COSTA RICA,MONTES DE ORO,604,112,64,55,100,404,417,377,408,522,542,294,152,3448
1325,244143.05,COSTA RICA,SANTA CRUZ,503,26,15,14,47,269,255,193,248,355,438,140,42,2043
1021.35,230283.11,COSTA RICA,SAN RAMON,202,162,89,71,96,380,414,381,385,468,486,343,210,3487
648.43,159693.69,COSTA RICA,ABANGARES,507,172,99,86,78,313,345,317,313,384,421,281,201,3011
261.74,102756.88,COSTA RICA,HOJANCHA,511,43,25,21,53,300,290,229,281,396,466,169,63,2336
193.72,92613.57,COSTA RICA,OREMUNO,307,195,117,98,101,288,272,269,235,250,287,309,222,2643
55.17,36052.08,COSTA RICA,BARVA,402,200,118,98,148,369,374,303,325,424,431,363,233,3385
49.76,38008.75,COSTA RICA,SANTA BARBARA,404,119,69,59,123,351,354,264,305,425,434,295,158,2957
389.55,149510.34,COSTA RICA,ALAJUELA,201,116,63,51,112,344,346,268,301,411,426,301,155,2893
74.59,51390.88,COSTA RICA,POAS,208,98,49,40,104,352,352,266,304,435,448,294,145,2889
136.82,73981.36,COSTA RICA,VALVERDE VEGA,212,194,94,69,113,382,400,345,350,455,466,407,245,3521
62.33,37594.96,COSTA RICA,SANTA ANA,109,21,21,24,83,301,287,195,253,376,401,185,50,2195
1392.55,279747.08,COSTA RICA,LA CRUZ,510,51,30,25,43,238,259,211,235,294,356,159,86,1987
164.91,88524.2,COSTA RICA,MORA,107,18,17,25,92,309,287,205,255,373,402,186,47,2216
126.68,69864.49,COSTA RICA,SAN MATEO,204,31,19,21,100,401,390,335,394,518,542,238,70,3058
38.85,25244.04,COSTA RICA,PALMARES,207,61,30,26,90,368,367,304,346,470,481,255,104,2902
169.5,100851.62,COSTA RICA,ASERRI,106,36,26,39,107,354,304,268,298,394,464,247,79,2616
20.9,24166.1,COSTA RICA,ALAJUELITA,110,22,20,22,76,294,282,191,244,369,392,180,48,2140
33.12,33677.16,COSTA RICA,ESCAZU,102,21,19,23,75,291,276,187,237,362,387,178,46,2104
119.35,60403.15,COSTA RICA,LEON CORTES,120,46,32,39,101,337,284,254,276,376,428,240,87,2501
45.34,32553.9,COSTA RICA,LA UNION,303,86,47,46,71,270,249,210,213,277,315,227,125,2136
34.4,48006.02,COSTA RICA,GOICOECHEA,108,118,67,58,86,289,274,229,236,307,334,263,153,2412
12.78,28822.17,COSTA RICA,MONTES DE OCA,115,51,29,28,67,278,267,205,230,324,346,202,84,2112
2810.49,405349.71,COSTA RICA,TALAMANCA,704,150,106,108,198,400,327,310,331,360,431,362,173,3257
28.6,43049.59,COSTA RICA,MORAVIA,114,146,87,75,105,307,300,251,261,336,356,289,178,2691
11.48,14380.37,COSTA RICA,BELEN,407,44,27,24,92,310,309,215,269,393,408,222,85,2399
7.12,13658.94,COSTA RICA,FLORES,408,44,27,24,92,310,309,215,269,393,408,222,85,2399
8.07,13511.57,COSTA RICA,SAN PABLO,409,112,70,60,113,330,329,246,285,399,407,268,144,2762
22.95,26809.9,COSTA RICA,SANTO DOMINGO,403,72,45,39,85,297,295,215,255,366,373,219,99,2360
44.37,41015.29,COSTA RICA,SAN JOSE,101,40,26,28,71,284,274,200,234,339,362,193,70,2121
17.09,17032.49,COSTA RICA,CURRIDABAT,118,51,29,28,67,278,267,205,230,324,346,202,84,2112
8.54,16472.57,COSTA RICA,TIBAS,113,72,45,39,85,297,295,215,255,366,373,219,99,2360
46.07,35109.68,COSTA RICA,SAN RAFAEL,405,112,70,60,113,330,329,246,285,399,407,268,144,2762
27.72,25582.14,COSTA RICA,SAN ISIDRO,406,162,100,83,119,325,322,260,282,368,379,306,189,2895
1773.84,271431.31,COSTA RICA,LIMON,701,291,182,155,204,388,324,384,313,256,312,428,304,3540
87.35,46599.37,COSTA RICA,ALVARADO,306,230,143,116,108,301,293,299,251,258,282,318,239,2839
155.09,61073.81,COSTA RICA,ALFARO RUIZ,211,181,86,59,87,352,390,343,335,435,442,380,233,3323
1319.94,211066.78,COSTA RICA,LOS CHILES,214,183,108,88,77,297,385,395,346,313,347,306,251,3096
1605.1,191422.81,COSTA RICA,UPALA,213,99,60,46,52,256,314,285,274,293,346,218,158,2401
773.26,158203.46,COSTA RICA,MATINA,705,366,222,179,212,390,328,420,312,200,274,467,375,3745
863.86,167596.47,COSTA RICA,SIQUIRRES,703,352,214,171,197,377,332,402,305,212,283,457,368,3669
1343.39,264729.68,COSTA RICA,NICOYA,502,44,26,23,52,291,281,220,270,381,449,163,64,2264
574.83,193508.78,COSTA RICA,NANDAYURE,509,54,31,27,61,312,304,253,298,404,472,189,78,2483
3345.77,407250.24,COSTA RICA,SAN CARLOS,210,265,147,112,105,358,432,435,378,369,399,437,341,3777
2120.64,241942.19,COSTA RICA,SARAPIQUI,410,374,205,169,177,443,473,488,406,400,416,561,442,4553
287.58,159728.51,COSTA RICA,CARTAGO,301,115,69,63,95,303,276,257,256,308,338,267,156,2504
226.27,88981.65,COSTA RICA,VAZQUEZ DE CORONADO,111,206,120,100,118,312,299,269,261,309,339,344,236,2912
1581.66,238063.99,COSTA RICA,TURRIALBA,305,263,155,123,168,373,346,353,318,305,332,409,276,3421
470.42,131439.44,COSTA RICA,PARAISO,302,146,94,83,131,367,341,312,328,389,393,319,177,3081
161.84,99511.87,COSTA RICA,EL GUARCO,308,101,60,57,89,297,272,249,249,309,340,252,144,2419
126.83,60250.27,COSTA RICA,NARANJO,206,114,55,40,87,361,375,314,338,456,464,314,161,3079
555.93,147747.66,COSTA RICA,PURISCAL,104,28,22,38,122,387,341,305,349,424,528,265,79,2888
341.48,94460.76,COSTA RICA,ACOSTA,112,28,23,40,119,373,322,278,317,417,494,249,71,2731
473.51,158833.92,COSTA RICA,PARRITA,609,42,27,45,135,439,373,377,421,459,622,347,114,3401
395.59,110756.6,COSTA RICA,DOTA,117,75,51,49,119,360,302,271,301,401,444,301,122,2797
1906.92,247434.62,COSTA RICA,PEREZ ZELEDON,119,45,35,57,157,414,343,288,365,446,525,343,96,3114
301.62,100672.8,COSTA RICA,TARRAZU,105,54,36,42,124,389,325,310,340,430,508,313,111,2982
552.2,152502.57,COSTA RICA,AGUIRRE,606,57,35,51,155,467,394,393,443,496,639,413,144,3686
1924.4,434476.95,COSTA RICA,OSA,605,53,41,82,200,441,388,351,438,477,691,465,129,3756
2374.91,266594.87,COSTA RICA,BUENOS AIRES,603,43,42,84,202,421,344,289,376,444,551,360,92,3248
945.18,173645.8,COSTA RICA,COTO BRUS,608,65,55,107,223,481,388,332,402,464,590,426,133,3666
628.46,152490.59,COSTA RICA,CORREDORES,610,85,70,116,265,524,467,463,524,525,690,569,176,4474
119.57,107902.7,COSTA RICA,DESAMPARADOS,103,57,35,39,77,287,262,211,228,317,351,206,93,2162
143.5,77205.9,COSTA RICA,OROTINA,209,24,17,20,99,388,375,322,377,490,534,231,63,2940
127.64,51022.39,COSTA RICA,ATENAS,205,26,17,20,90,329,316,245,295,407,426,197,60,2429
1751.07,538300.98,COSTA RICA,GOLFITO,607,79,59,105,238,495,451,437,499,518,748,563,176,4370
289.42,97356.5,COSTA RICA,HEREDIA,401,322,181,145,179,402,415,373,366,428,436,489,351,4086
414.69,129181.18,COSTA RICA,TURRUBARES,116,30,22,31,110,387,354,321,368,437,552,256,79,2948
1823.15,48734.89,COSTA RICA,PUNTARENAS,601,101,59,52,89,365,371,336,362,457,519,263,135,3109
254.89,101.994067,COSTA RICA,GRECIA,203,99,51,40,97,342,339,268,299,414,433,288,141,2811
142.45,72.032861,COSTA RICA,RIO CUARTO,216,381,195,146,158,430,483,479,415,438,449,599,446,4619
314.73,124542.32,COSTA RICA,GARABITO,611,33,24,27,98,375,354,327,371,421,572,254,82,2937
